Date,RelDate,Price
3/11/2016,24174.00,2022.189941
3/10/2016,24173.00,1989.569946
3/9/2016,24172.00,1989.26001
3/8/2016,24171.00,1979.26001
3/7/2016,24170.00,2001.76001
3/4/2016,24167.00,1999.98999
3/3/2016,24166.00,1993.400024
3/2/2016,24165.00,1986.449951
3/1/2016,24164.00,1978.349976
2/29/2016,24163.00,1932.22998
2/26/2016,24160.00,1948.050049
2/25/2016,24159.00,1951.699951
2/24/2016,24158.00,1929.800049
2/23/2016,24157.00,1921.27002
2/22/2016,24156.00,1945.5
2/19/2016,24153.00,1917.780029
2/18/2016,24152.00,1917.829956
2/17/2016,24151.00,1926.819946
2/16/2016,24150.00,1895.579956
2/12/2016,24146.00,1864.780029
2/11/2016,24145.00,1829.079956
2/10/2016,24144.00,1851.859985
2/9/2016,24143.00,1852.209961
2/8/2016,24142.00,1853.439941
2/5/2016,24139.00,1880.050049
2/4/2016,24138.00,1915.449951
2/3/2016,24137.00,1912.530029
2/2/2016,24136.00,1903.030029
2/1/2016,24135.00,1939.380005
1/29/2016,24132.00,1940.23999
1/28/2016,24131.00,1893.359985
1/27/2016,24130.00,1882.949951
1/26/2016,24129.00,1903.630005
1/25/2016,24128.00,1877.079956
1/22/2016,24125.00,1906.900024
1/21/2016,24124.00,1868.98999
1/20/2016,24123.00,1859.329956
1/19/2016,24122.00,1881.329956
1/15/2016,24118.00,1880.329956
1/14/2016,24117.00,1921.839966
1/13/2016,24116.00,1890.280029
1/12/2016,24115.00,1938.680054
1/11/2016,24114.00,1923.670044
1/8/2016,24111.00,1922.030029
1/7/2016,24110.00,1943.089966
1/6/2016,24109.00,1990.26001
1/5/2016,24108.00,2016.709961
1/4/2016,24107.00,2012.660034
12/31/2015,24103.00,2043.939941
12/30/2015,24102.00,2063.360107
12/29/2015,24101.00,2078.360107
12/28/2015,24100.00,2056.5
12/24/2015,24096.00,2060.98999
12/23/2015,24095.00,2064.290039
12/22/2015,24094.00,2038.969971
12/21/2015,24093.00,2021.150024
12/18/2015,24090.00,2005.550049
12/17/2015,24089.00,2041.890015
12/16/2015,24088.00,2073.070068
12/15/2015,24087.00,2043.410034
12/14/2015,24086.00,2021.939941
12/11/2015,24083.00,2012.369995
12/10/2015,24082.00,2052.22998
12/9/2015,24081.00,2047.619995
12/8/2015,24080.00,2063.590088
12/7/2015,24079.00,2077.070068
12/4/2015,24076.00,2091.689941
12/3/2015,24075.00,2049.620117
12/2/2015,24074.00,2079.51001
12/1/2015,24073.00,2102.629883
11/30/2015,24072.00,2080.409912
11/27/2015,24069.00,2090.110107
11/25/2015,24067.00,2088.870117
11/24/2015,24066.00,2089.139893
11/23/2015,24065.00,2086.590088
11/20/2015,24062.00,2089.169922
11/19/2015,24061.00,2081.23999
11/18/2015,24060.00,2083.580078
11/17/2015,24059.00,2050.439941
11/16/2015,24058.00,2053.189941
11/13/2015,24055.00,2023.040039
11/12/2015,24054.00,2045.969971
11/11/2015,24053.00,2075
11/10/2015,24052.00,2081.719971
11/9/2015,24051.00,2078.580078
11/6/2015,24048.00,2099.199951
11/5/2015,24047.00,2099.929932
11/4/2015,24046.00,2102.310059
11/3/2015,24045.00,2109.790039
11/2/2015,24044.00,2104.050049
10/30/2015,24041.00,2079.360107
10/29/2015,24040.00,2089.409912
10/28/2015,24039.00,2090.350098
10/27/2015,24038.00,2065.889893
10/26/2015,24037.00,2071.179932
10/23/2015,24034.00,2075.149902
10/22/2015,24033.00,2052.51001
10/21/2015,24032.00,2018.939941
10/20/2015,24031.00,2030.77002
10/19/2015,24030.00,2033.660034
10/16/2015,24027.00,2033.109985
10/15/2015,24026.00,2023.859985
10/14/2015,24025.00,1994.23999
10/13/2015,24024.00,2003.689941
10/12/2015,24023.00,2017.459961
10/9/2015,24020.00,2014.890015
10/8/2015,24019.00,2013.430054
10/7/2015,24018.00,1995.829956
10/6/2015,24017.00,1979.920044
10/5/2015,24016.00,1987.050049
10/2/2015,24013.00,1951.359985
10/1/2015,24012.00,1923.819946
9/30/2015,24011.00,1920.030029
9/29/2015,24010.00,1884.089966
9/28/2015,24009.00,1881.77002
9/25/2015,24006.00,1931.339966
9/24/2015,24005.00,1932.23999
9/23/2015,24004.00,1938.76001
9/22/2015,24003.00,1942.73999
9/21/2015,24002.00,1966.969971
9/18/2015,23999.00,1958.030029
9/17/2015,23998.00,1990.199951
9/16/2015,23997.00,1995.310059
9/15/2015,23996.00,1978.089966
9/14/2015,23995.00,1953.030029
9/11/2015,23992.00,1961.050049
9/10/2015,23991.00,1952.290039
9/9/2015,23990.00,1942.040039
9/8/2015,23989.00,1969.410034
9/4/2015,23985.00,1921.219971
9/3/2015,23984.00,1951.130005
9/2/2015,23983.00,1948.859985
9/1/2015,23982.00,1913.849976
8/31/2015,23981.00,1972.180054
8/28/2015,23978.00,1988.869995
8/27/2015,23977.00,1987.660034
8/26/2015,23976.00,1940.51001
8/25/2015,23975.00,1867.609985
8/24/2015,23974.00,1893.209961
8/21/2015,23971.00,1970.890015
8/20/2015,23970.00,2035.72998
8/19/2015,23969.00,2079.610107
8/18/2015,23968.00,2096.919922
8/17/2015,23967.00,2102.439941
8/14/2015,23964.00,2091.540039
8/13/2015,23963.00,2083.389893
8/12/2015,23962.00,2086.050049
8/11/2015,23961.00,2084.070068
8/10/2015,23960.00,2104.179932
8/7/2015,23957.00,2077.570068
8/6/2015,23956.00,2083.560059
8/5/2015,23955.00,2099.840088
8/4/2015,23954.00,2093.320068
8/3/2015,23953.00,2098.040039
7/31/2015,23950.00,2103.840088
7/30/2015,23949.00,2108.629883
7/29/2015,23948.00,2108.570068
7/28/2015,23947.00,2093.25
7/27/2015,23946.00,2067.639893
7/24/2015,23943.00,2079.649902
7/23/2015,23942.00,2102.149902
7/22/2015,23941.00,2114.149902
7/21/2015,23940.00,2119.209961
7/20/2015,23939.00,2128.280029
7/17/2015,23936.00,2126.639893
7/16/2015,23935.00,2124.290039
7/15/2015,23934.00,2107.399902
7/14/2015,23933.00,2108.949951
7/13/2015,23932.00,2099.600098
7/10/2015,23929.00,2076.620117
7/9/2015,23928.00,2051.310059
7/8/2015,23927.00,2046.680054
7/7/2015,23926.00,2081.340088
7/6/2015,23925.00,2068.76001
7/2/2015,23921.00,2076.780029
7/1/2015,23920.00,2077.419922
6/30/2015,23919.00,2063.110107
6/29/2015,23918.00,2057.639893
6/26/2015,23915.00,2101.48999
6/25/2015,23914.00,2102.310059
6/24/2015,23913.00,2108.580078
6/23/2015,23912.00,2124.199951
6/22/2015,23911.00,2122.850098
6/19/2015,23908.00,2109.98999
6/18/2015,23907.00,2121.23999
6/17/2015,23906.00,2100.439941
6/16/2015,23905.00,2096.290039
6/15/2015,23904.00,2084.429932
6/12/2015,23901.00,2094.110107
6/11/2015,23900.00,2108.860107
6/10/2015,23899.00,2105.199951
6/9/2015,23898.00,2080.149902
6/8/2015,23897.00,2079.280029
6/5/2015,23894.00,2092.830078
6/4/2015,23893.00,2095.840088
6/3/2015,23892.00,2114.070068
6/2/2015,23891.00,2109.600098
6/1/2015,23890.00,2111.72998
5/29/2015,23887.00,2107.389893
5/28/2015,23886.00,2120.790039
5/27/2015,23885.00,2123.47998
5/26/2015,23884.00,2104.199951
5/22/2015,23880.00,2126.060059
5/21/2015,23879.00,2130.820068
5/20/2015,23878.00,2125.850098
5/19/2015,23877.00,2127.830078
5/18/2015,23876.00,2129.199951
5/15/2015,23873.00,2122.72998
5/14/2015,23872.00,2121.100098
5/13/2015,23871.00,2098.47998
5/12/2015,23870.00,2099.120117
5/11/2015,23869.00,2105.330078
5/8/2015,23866.00,2116.100098
5/7/2015,23865.00,2088
5/6/2015,23864.00,2080.149902
5/5/2015,23863.00,2089.459961
5/4/2015,23862.00,2114.48999
5/1/2015,23859.00,2108.290039
4/30/2015,23858.00,2085.51001
4/29/2015,23857.00,2106.850098
4/28/2015,23856.00,2114.76001
4/27/2015,23855.00,2108.919922
4/24/2015,23852.00,2117.689941
4/23/2015,23851.00,2112.929932
4/22/2015,23850.00,2107.959961
4/21/2015,23849.00,2097.290039
4/20/2015,23848.00,2100.399902
4/17/2015,23845.00,2081.179932
4/16/2015,23844.00,2104.98999
4/15/2015,23843.00,2106.629883
4/14/2015,23842.00,2095.840088
4/13/2015,23841.00,2092.429932
4/10/2015,23838.00,2102.060059
4/9/2015,23837.00,2091.179932
4/8/2015,23836.00,2081.899902
4/7/2015,23835.00,2076.330078
4/6/2015,23834.00,2080.620117
4/2/2015,23830.00,2066.959961
4/1/2015,23829.00,2059.689941
3/31/2015,23828.00,2067.889893
3/30/2015,23827.00,2086.23999
3/27/2015,23824.00,2061.02002
3/26/2015,23823.00,2056.149902
3/25/2015,23822.00,2061.050049
3/24/2015,23821.00,2091.5
3/23/2015,23820.00,2104.419922
3/20/2015,23817.00,2108.100098
3/19/2015,23816.00,2089.27002
3/18/2015,23815.00,2099.5
3/17/2015,23814.00,2074.280029
3/16/2015,23813.00,2081.189941
3/13/2015,23810.00,2053.399902
3/12/2015,23809.00,2065.949951
3/11/2015,23808.00,2040.23999
3/10/2015,23807.00,2044.160034
3/9/2015,23806.00,2079.429932
3/6/2015,23803.00,2071.26001
3/5/2015,23802.00,2101.040039
3/4/2015,23801.00,2098.530029
3/3/2015,23800.00,2107.780029
3/2/2015,23799.00,2117.389893
2/27/2015,23796.00,2104.5
2/26/2015,23795.00,2110.73999
2/25/2015,23794.00,2113.860107
2/24/2015,23793.00,2115.47998
2/23/2015,23792.00,2109.659912
2/20/2015,23789.00,2110.300049
2/19/2015,23788.00,2097.449951
2/18/2015,23787.00,2099.679932
2/17/2015,23786.00,2100.340088
2/13/2015,23782.00,2096.98999
2/12/2015,23781.00,2088.47998
2/11/2015,23780.00,2068.530029
2/10/2015,23779.00,2068.590088
2/9/2015,23778.00,2046.73999
2/6/2015,23775.00,2055.469971
2/5/2015,23774.00,2062.52002
2/4/2015,23773.00,2041.51001
2/3/2015,23772.00,2050.030029
2/2/2015,23771.00,2020.849976
1/30/2015,23768.00,1994.98999
1/29/2015,23767.00,2021.25
1/28/2015,23766.00,2002.160034
1/27/2015,23765.00,2029.550049
1/26/2015,23764.00,2057.090088
1/23/2015,23761.00,2051.820068
1/22/2015,23760.00,2063.149902
1/21/2015,23759.00,2032.119995
1/20/2015,23758.00,2022.550049
1/16/2015,23754.00,2019.420044
1/15/2015,23753.00,1992.670044
1/14/2015,23752.00,2011.27002
1/13/2015,23751.00,2023.030029
1/12/2015,23750.00,2028.26001
1/9/2015,23747.00,2044.810059
1/8/2015,23746.00,2062.139893
1/7/2015,23745.00,2025.900024
1/6/2015,23744.00,2002.609985
1/5/2015,23743.00,2020.579956
1/2/2015,23740.00,2058.199951
12/31/2014,23738.00,2058.899902
12/30/2014,23737.00,2080.350098
12/29/2014,23736.00,2090.570068
12/26/2014,23733.00,2088.77002
12/24/2014,23731.00,2081.879883
12/23/2014,23730.00,2082.169922
12/22/2014,23729.00,2078.540039
12/19/2014,23726.00,2070.649902
12/18/2014,23725.00,2061.22998
12/17/2014,23724.00,2012.890015
12/16/2014,23723.00,1972.73999
12/15/2014,23722.00,1989.630005
12/12/2014,23719.00,2002.329956
12/11/2014,23718.00,2035.329956
12/10/2014,23717.00,2026.140015
12/9/2014,23716.00,2059.820068
12/8/2014,23715.00,2060.310059
12/5/2014,23712.00,2075.370117
12/4/2014,23711.00,2071.919922
12/3/2014,23710.00,2074.330078
12/2/2014,23709.00,2066.550049
12/1/2014,23708.00,2053.439941
11/28/2014,23705.00,2067.560059
11/26/2014,23703.00,2072.830078
11/25/2014,23702.00,2067.030029
11/24/2014,23701.00,2069.409912
11/21/2014,23698.00,2063.5
11/20/2014,23697.00,2052.75
11/19/2014,23696.00,2048.719971
11/18/2014,23695.00,2051.800049
11/17/2014,23694.00,2041.319946
11/14/2014,23691.00,2039.819946
11/13/2014,23690.00,2039.329956
11/12/2014,23689.00,2038.25
11/11/2014,23688.00,2039.680054
11/10/2014,23687.00,2038.26001
11/7/2014,23684.00,2031.920044
11/6/2014,23683.00,2031.209961
11/5/2014,23682.00,2023.569946
11/4/2014,23681.00,2012.099976
11/3/2014,23680.00,2017.810059
10/31/2014,23677.00,2018.050049
10/30/2014,23676.00,1994.650024
10/29/2014,23675.00,1982.300049
10/28/2014,23674.00,1985.050049
10/27/2014,23673.00,1961.630005
10/24/2014,23670.00,1964.579956
10/23/2014,23669.00,1950.819946
10/22/2014,23668.00,1927.109985
10/21/2014,23667.00,1941.280029
10/20/2014,23666.00,1904.01001
10/17/2014,23663.00,1886.76001
10/16/2014,23662.00,1862.76001
10/15/2014,23661.00,1862.48999
10/14/2014,23660.00,1877.699951
10/13/2014,23659.00,1874.73999
10/10/2014,23656.00,1906.130005
10/9/2014,23655.00,1928.209961
10/8/2014,23654.00,1968.890015
10/7/2014,23653.00,1935.099976
10/6/2014,23652.00,1964.819946
10/3/2014,23649.00,1967.900024
10/2/2014,23648.00,1946.170044
10/1/2014,23647.00,1946.160034
9/30/2014,23646.00,1972.290039
9/29/2014,23645.00,1977.800049
9/26/2014,23642.00,1982.849976
9/25/2014,23641.00,1965.98999
9/24/2014,23640.00,1998.300049
9/23/2014,23639.00,1982.77002
9/22/2014,23638.00,1994.290039
9/19/2014,23635.00,2010.400024
9/18/2014,23634.00,2011.359985
9/17/2014,23633.00,2001.569946
9/16/2014,23632.00,1998.97998
9/15/2014,23631.00,1984.130005
9/12/2014,23628.00,1985.540039
9/11/2014,23627.00,1997.449951
9/10/2014,23626.00,1995.689941
9/9/2014,23625.00,1988.439941
9/8/2014,23624.00,2001.540039
9/5/2014,23621.00,2007.709961
9/4/2014,23620.00,1997.650024
9/3/2014,23619.00,2000.719971
9/2/2014,23618.00,2002.280029
8/29/2014,23614.00,2003.369995
8/28/2014,23613.00,1996.73999
8/27/2014,23612.00,2000.119995
8/26/2014,23611.00,2000.02002
8/25/2014,23610.00,1997.920044
8/22/2014,23607.00,1988.400024
8/21/2014,23606.00,1992.369995
8/20/2014,23605.00,1986.51001
8/19/2014,23604.00,1981.599976
8/18/2014,23603.00,1971.73999
8/15/2014,23600.00,1955.060059
8/14/2014,23599.00,1955.180054
8/13/2014,23598.00,1946.719971
8/12/2014,23597.00,1933.75
8/11/2014,23596.00,1936.920044
8/8/2014,23593.00,1931.589966
8/7/2014,23592.00,1909.569946
8/6/2014,23591.00,1920.23999
8/5/2014,23590.00,1920.209961
8/4/2014,23589.00,1938.98999
8/1/2014,23586.00,1925.150024
7/31/2014,23585.00,1930.670044
7/30/2014,23584.00,1970.069946
7/29/2014,23583.00,1969.949951
7/28/2014,23582.00,1978.910034
7/25/2014,23579.00,1978.339966
7/24/2014,23578.00,1987.97998
7/23/2014,23577.00,1987.01001
7/22/2014,23576.00,1983.530029
7/21/2014,23575.00,1973.630005
7/18/2014,23572.00,1978.219971
7/17/2014,23571.00,1958.119995
7/16/2014,23570.00,1981.569946
7/15/2014,23569.00,1973.280029
7/14/2014,23568.00,1977.099976
7/11/2014,23565.00,1967.569946
7/10/2014,23564.00,1964.680054
7/9/2014,23563.00,1972.829956
7/8/2014,23562.00,1963.709961
7/7/2014,23561.00,1977.650024
7/3/2014,23557.00,1985.439941
7/2/2014,23556.00,1974.619995
